to,from,symbol,value,origin,tx_hash,gas_used,block_hash,fiat_value,action_type,code_address,eth_usd_pair.price.value,eth_usd_pair.price.decimals,eth_usd_pair.timestamp,eth_usd_pair.aggregator_round_id,fiat_decimals,block_timestamp,gas_price,score_from,score_to
0x95b86901e6c23a493c1af8f85a4c697a5c626614,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,SLP,0.000000000000070554,0x95b86901e6c23a493c1af8f85a4c697a5c626614,0xa96fb9b6bf2743e1b6aef35d843ef397a5dd54a884bf692b424bd4774d640682,212990,0x223a92abaa641599fdd46df2463e751fd4f91238d6640b6a02cb63170e640c0d,544158378654,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 1:58:21,102458655328,76,65
0x5413e47269e5a4bfd0ddcfecf20fed4cdb23552c,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,AXS,5.179,0x5413e47269e5a4bfd0ddcfecf20fed4cdb23552c,0x3ef69e14f65c942fb33dfa31662afe5fc63f9aa8268c49f51563c4e50e79a1f1,213093,0x5a36f16ae50515cb431a997239179943604460571ef46c7b71f16f3d6d586027,"7,97858E+28",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 1:58:55,113433023896,76,85
0x28c6c06298d514db089934071355e5743bf21d60,0x1d0fd48f51217247df5d8f3c7cb2512fbb093b4e,SLP,0.000000000000010583,0x1d0fd48f51217247df5d8f3c7cb2512fbb093b4e,0x7970e4faafc382711d336152fb18267e5f4f77c39f5c26f7cc660e3b318bb4f3,29635,0xa48b21ef6211c7ad46ddb156584a0bfc8cc9cb1a2b4dacddcd74b1e2a4f00c58,8162265746,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,7,1636336600,469344760295,8,13582,08/11/2021 2:00:22,143000000000,93,85
0x95b86901e6c23a493c1af8f85a4c697a5c626614,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,SLP,0.000000000000016223,0x95b86901e6c23a493c1af8f85a4c697a5c626614,0x6cf40e479c219b88481f8fd50f67ea445148580b5f6be7387e884e41f638ffc9,187690,0xa1afb61f5c6c71c358e1506fb08dff4f09570f8714ce2f5b2305799950bc2482,125088366211,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:08:10,160575310882,76,65
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x29435cc8aa32e64cee5a5d1100733772c8ba10b2,SLP,0.000000000000005971,0x29435cc8aa32e64cee5a5d1100733772c8ba10b2,0x030c344812f17f817c52eedd20295779dcdbd8ec59aa1703b039b0134ecf225e,155468,0xe4ea51135f12efc521dbbb3d037afcd0aa6409377df02bc53f39dbd58e46c0a5,45869204087,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:12:02,119318304341,68,76
0x7ab39021fe67cc383540b3be4d0fa946495e03f3,0x28c6c06298d514db089934071355e5743bf21d60,SLP,0.000000000000013618,0x28c6c06298d514db089934071355e5743bf21d60,0x0f97d2bd2ee031a01c6ed2bd851ad8cec974c3b5ba0c3ae4c7dea9ebcf9ef7a9,34435,0xcbf93f71ec04dbebe092f238e5bd25637ea92029e5ce9d7c7134051612471548,104592204684,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:13:51,304000000000,85,62
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xfbdcd74e860cfc4098d027c55f7c7400e02e9e66,AXS,12.00,0xfbdcd74e860cfc4098d027c55f7c7400e02e9e66,0x5892d5ce5bb7d820b0e125866c9844ee09ab7078abca99fe3870ba7fc3fa8473,155505,0x6fd61bfcae787f404f4f69781bc6b9f8fe9956fc96119d5a9d05c5a6570405cd,"1,84293E+29",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:14:04,134802186657,80,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xfbdcd74e860cfc4098d027c55f7c7400e02e9e66,SLP,0.0000000000000216,0xfbdcd74e860cfc4098d027c55f7c7400e02e9e66,0x8b63203acf06b2a917b07840b18f887d0c2df46c80edf852da6de296b113542a,155480,0x6fd61bfcae787f404f4f69781bc6b9f8fe9956fc96119d5a9d05c5a6570405cd,165897460800,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:14:04,134802186657,80,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x5c5d8cdde605cce4fa610b53aeb01a1c33548aec,SLP,0.00000000000001,0x5c5d8cdde605cce4fa610b53aeb01a1c33548aec,0x322d1b9f8236c33b261fb42b4f027a4d81529968baee849b5973032037a7dbe3,155480,0xe9ba0fb8425109176acbd9ccb383e406a03d79c5d9c9beb40093e3311cc423b3,76804380000,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:14:12,151462593875,68,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x5c5d8cdde605cce4fa610b53aeb01a1c33548aec,AXS,8.00,0x5c5d8cdde605cce4fa610b53aeb01a1c33548aec,0xc152b95d4cf0057c31d2bafc32289bebbfbf262ee0152ac2f399739e7699b9ef,155505,0x0d48f1bd4f63f254e1d56cb54ec36e015376ecc5d994e342190bbd2dddd4c5d1,"1,2286E+29",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:14:49,133917559019,68,76
